COMUNA,NOMBRE,PARTIDO,PACTO,RELECCIÓN,AÑOS EN EL CARGO,PERIODOS COMO ALCALDE,CANDIDATURAS ANTERIORES * ,FACEBOOK,TWITTER
Arica,IVAN PAREDES ,IND,Por el Desarrollo del Norte,No,0,Ninguno,No,https://www.facebook.com/ivanparedes.alcalde,Ivanparedesfi
Arica,LUIS ROCAFULL ,PS,Concertación,No,0,Ninguno,No,https://www.facebook.com/pages/Luis-Rocafull-Alcalde-de-Arica/364913706925001?ref=stream,Luisrocafull
Arica,SALVADOR URRUTIA ,PRO,El cambio por ti,No,0,Ninguno,No,https://www.facebook.com/pages/Dr-Salvador-Urrutia-Un-Alcalde-Honesto-2012/187128981364445,Sapurr
Arica,XIMENA VALCARCE ,RN,Coalición,No,0,Ninguno,No,https://www.facebook.com/XimenaValcarceAlcaldesaDeArica,Ximenavalcarce
Arica,SERGIO STANCIC,IND,Sin Pacto,No,0,Ninguno,No,,Sergiostancic
Arica,GABRIEL ALAMO,PRI,Regionalistas e Independientes,No,0,Ninguno,No,https://www.facebook.com/gabriel.alamo.7,
Aysén,MARISOL MARTINEZ,PS,Concertación,Sí,4,2008-2012,2008,https://www.facebook.com/Alcaldesa2012,Mmartinezaysen
Aysén,OSCAR CATALAN,IND,Coalición,No,12,1996-2008,"1996,2000,2004,2008",https://www.facebook.com/aysen.patagon,
Aysén,SERGIO GONZALEZ ,PRI,Regionalistas e Independientes,No,0,Ninguno,No,https://www.facebook.com/SergioGonzalezAlcaldeDeAysen,
Aysén,JUAN LUIS ATTON,PRO,El cambio por ti,No,0,Ninguno,No,https://www.facebook.com/pages/Juan-Luis-Atton-Candidato-Alcalde-por-Aysen/192144117582767,
Buin,CLAUDIO CASTRO,PH,Más Humanos,No,0,Ninguno,2008,,
Buin,ANGEL BOZAN ,IND,Por un Chile Justo,No,14,1994-2008,"1992,1996,2000,2004,2008",,
Buin,CLAUDIA PONS ,IND,Igualdad para Chile,No,0,Ninguno,No,,Ponsclaudia
Buin,JOSE ESCOBAR,IND,El cambio por ti,No,0,Ninguno,No,https://www.facebook.com/joesto,Josescobar12
Buin,RODRIGO ETCHEVERRY,UDI,Coalición,Sí,,2008-2012,"2000, 2004,2008",https://www.facebook.com/groups/195030300596699/,EtcheverryBuin
Bulnes,CARLOS CISTERNAS ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/recuperemosbulnes,CCisternasU
Bulnes,ERNESTO SANCHEZ,IND,Sin Pacto,No,0,Ninguno,"1996, 2000, 2008",https://www.facebook.com/porunbulnes.mejor,Sanchezbulnes
Bulnes,NELLY RIQUELME,RN,Coalición,No,0,Ninguno,No,,
Bulnes,JORGE HIDALGO,PS,Concertación,No,8,2000 - 2008,"1992, 1996, 2000, 2004, 2008",,
Cabildo,FERNANDO OLMOS,IND,Sin Pacto,No,0,Ninguno,No,,
Cabildo,MARIA TERESA PINILLA,IND,Coalición,No,0,Ninguno,"2000, 2008",,
Cabildo,PATRICIO ALIAGA,IND,Concertación,No,0,Ninguno,No,,
Cabildo,SOLANGE REIDEMBACH,IND,Sin Pacto,No,0,Ninguno,No,,
Cabo de Hornos,ALONSO CARMONA,UDI,Coalición,No,0,Ninguno,No,,
Cabo de Hornos,IVAN ALMONACID,PRSD,Por un Chile Justo,No,0,Ninguno,2008,https://www.facebook.com/IvanAlmonacidAlcalde,IVAN_ALMONACID
Cabo de Hornos,JOSE LUIS SOTO,IND,Regionalistas e Independientes,No,4,2000 - 2004,"2000, 2008",,
Cabo de Hornos,LUIS LLAIPEN ,IND,Sin Pacto,No,0,Ninguno,No,,
Cabo de Hornos,PAMELA TAPIA,IND,Sin Pacto,No,0,Ninguno,No,,
Cabrero,CLAUDIA MORAN,UDI,Coalición,No,0,Ninguno,No,,
Cabrero,HASAN SABAG,DC,Concertación,Sí,20,1992-2002,"1992, 1996, 2000, 2004, 2008",,
Cabrero,MARIO GILKI ,IND,Sin Pacto,No,0,Ninguno,No,,
Calama,ARTURO MOLINA ,DC,Concertación,No,4,2004-2008,"1996, 2000, 2004, 2008",https://www.facebook.com/pages/ARTURO-MOLINA-POR-CALAMA/243288672370567,A_Molina2012
Calama,NELSON VELASQUEZ,PRI,Regionalistas e Independientes,No,0,Ninguno,"1996, 2000",,
Calama,ESTEBAN VELASQUEZ,IND,El cambio por ti,Sí,4,2008-2012,"2000, 2004, 2008",https://www.facebook.com/pages/ESTEBAN-VEL%C3%81SQUEZ-ALCALDE/34898474917,Velasquezcalama
