OMAR VERA,Omar_vera
RODOLFO TORREALBA,Rtorrealbae
LEONARDO SOTO,Leosotoalcalde
NICOLAS HENRIQUEZ,Nicolas_Alcalde
NORA CUEVAS,Nora_Cuevas
FELIPE LETELIER,letelier2012
CRISTIAN FERNANDEZ,Alcaldecristian
LORENA JARDUA,Jarduacampos
JAIME AMAR,Jaimeamar
PATRICIO FREIRE,PatoFreireCanto
OSCAR MARIN,oscar_marn
GUSTAVO VALDERRAMA,Valderrama_2012
JUSTINO VASQUEZ,Justinovasquez
CECILIA PARHAM,Ceciliaparham
ALONSO PEREZ DE ARCE,Perezdearce2012
SERGIO ECHEVERRIA,secheverriag
LUIS PEZOA,Alcaldepezoa
LUIS VARGAS,Luisvargassjm
BERNARDO CANDIA,Bernardocandia
CLAUDIO ESCOBAR,escobar20121
JULIO PALESTRO,Alcaldepalestro
MANUEL DEVIA,Manueldevia2012
ROLANDO HUMIRE,rolandohumire
ALVARO RIVAS,Alcalderivas
JAIME SOTO,Jaimesotoalcald
SANDRA ERMANN,Sandraermann
AUDITO RETAMAL,AlcaldeAudito
MIGUEL GARRIDO,alcaldegarrido!!!
EDINSON TORO ROJAS,edinsontoro2012
CRISTIAN OSES,alcalde_iraira
DANIEL SALAMANCA,danielconcejal
CARLA CAICEO,Carlacaiceo
CAROLINA TOHA,Carolina_Toha
IVAN CARRASCO,Ivancarrascom
MARIO AGUILAR,Aguilarmario
PABLO ZALAQUETT,Pablozalaquetts
WALDO MORA,WaldomoraL
JUAN PABLO ARRIAGADA,Juanpaarriagada
RAUL LEIVA,Raulleiva
ALEXIS SEPULVEDA,Alexisalcalde
JUAN CASTRO,Juancastrotalca
LORENA TAPIA,Ltapiacontreras
HENRY CAMPOS,Henrycamposcoa
FRANCISCO HUENCHUMILLA,Temucoengrande
GENOVEVA SEPULVEDA,Genovevatemuco
MIGUEL BECKER,BeckerAlcalde
JORGE HIDALGO,Concejalhidalgo
NELSON ORELLANA,concejaltiltil
DENIS GUERRERO,denisgue
FERNANDO CALLAHAN,Timaukel2012
FERNANDO SAN ROMAN,Sanromantoco
IVONNE RIVAS,Ivonnerivas1
LARRY SANDOVAL,larrysandovall
CARLOS ATMMANN,Carlosamtmann
OMAR SABAT,Omar_Sabat
FRANCISCO MARIN,Amigopancho
JORGE BUSTOS,Jbustosb
JORGE CASTRO,Jorgecastrovalp
ROMAN PAVEZ,Alcaldepavez
FERNANDO GUAMAN,FdoGuaman
RAFAEL VERA,Rafael_Vera
PATRICIO VILLANUEVA,PVR1963
FERNANDO OLMEDO,Olmedo2012
RENE LUES,Renelues
VIRGINIA REGINATO,Cotyreginato
